Comments,Labels
"Padmah Shree
Jim Fazarally

Je ne veux offenser personne puisque je suis le 1er à reconnaître les spécificités uniques de Maurice.
Maurice où l’harmonie entre les différentes communautés est exemplaire mais en même temps fragile.
Moi même j’ai de la famille de toutes les communautés.

Mon commentaire était par rapport aux blâmes jetés sur la récente délégation indienne alors qu’elle n’est pas là seule.
Concernant le hinduvta et le Hindu bashing ce sont 2 faits qui existent bel et bien à Maurice, ne faisons pas l’innocent
Tel que vous définissez le Hinduvta, c’est l’idéal mais dans la pratique ce n’est pas le cas car certains tombent dans le fanatisme.
D’un autre côté il y a du Hindu bashing pour un oui ou pour un non!
Tôt ou tard les 2 groupes vont s’affronter et bye bye notre harmonie sociale.

Cordialement à vous 2 et merci pour les échanges 🙏",0
"En attendant il y'a l'Inde qui est arrivé sur l'île sans passer en quarantaine et les jets privés c'est pareil ce variant car il ne peut êtes que celui là est bien arriver par quelqu'un le contact dressing ""c'est comme ça que vous le dite "" dois vous apprendre d'où c'est arrivé.",0
Jim Fazarally,0
Voilà ki fine arrivé pinokio ine laisse bane l'Inde rentre Maurice sans même mette zot en quarantaine,0
Zot trouve pinokio patounette maman pou cause la veriter zot. Alume la bougie.......ler ine vinni pou re cokin milliards merci,0
Melvin Conjamalay si pinok ti pou conten sa pays la et si li ti pour devouer pour sa le peuple la ou coire ban delegation linde ti pour rente dan nou pays,0
"Neema Boodhoo appelle la main attacher, pe prend milliards ar zot. Pe done lindependence nous pays a linde.....agalega entre autre. De toute guete li meme conner un capon. Mauriciens ti faire confiance pou amene industrie pou jeunes gagne travail. Li li ti ena un idee just pou prend preter. Nous mauriciens pe gagne saki nous fine voter. Aster nous gueter si li re elu ar couyone vieux dimounes encore parski lepok manioc pe vinni",0
Melvin Conjamalay mo pa regreter mo pa ti ale voter parski fini perdi confiance cki zot fer la mais au moins mo pan fer pecher vote en dimoune koumsa,0
Voila qui arriver quand pas passe par 40n,0
Pravin pou vine faire mea culpa.ene boug grand noir Autain couma li.reste attane mem,0
Tro tal la main r linde ..delegation lor delegation p fer rentrè.pena 40/1 naryè.aprè p avoy boul lor skc surat,0
Rajesh Nundoo mari bien dire❗👏👏👏,0
Top. Well said.,0
Rajesh Nundoo hier mo ti dire sameme 2 imbecile in comence koz insignifiant et aussi combien persone linde p travail dans maurice avec papier expire pna control,0
Linde pour pren pouvoir dan moris,0
Neema Boodhoo ena buku dimoun ena la fumè divant zot liziè.zot pa p truv naryè..,0
Aster ban tourisme pas pour rod al maurice,0
Kamini Ramessur zis ban linde ki pour rent maurice,0
Vvip sheik ti ale kot surat pa koner si ine fer 40ene,0
"Zotte la pour fer palab zis comand famme palabez.PM pe fer so travail ,si to capave ale remplace li mo Frere.",0
"Dwarkasing Bholah PM la MENTEUR BLUFFER VOLEUR BOUFFON FRAUDEUR, tonn conpran",0
Sooman Shunker,0
Sooman Shunker fer tomeme PM alor,0
"Li fer so ban indien de l’Inde rentrer sans quarantaine pou allé Ganga Talao zotte meme Ki
Fine propage sa aller nou mauricien ki payer",0
mamou ou ti p dire ki la gazette p crée chikose dans morice et zot p faire marketing pou banne capitaliste concert lockdown mais aster ena lockdown ou pou dire ki pravind oussi complice.Mo respect ou et mo suive ou mais parfois ou trop presser pou faire conclusion ou analyse.,0
Neguib Lootfun Ok..Brother...mais si ou ti ecoute mo bann live...lerla ou pas ti pou reagir coumsa...merci,0
Deenarain Lokee sorry si mo fine faire erreur grand frère,0
"ENA CABRI
ZIS CABRI LINDE..
CABRI MAUDIT KI PAS PASSE PAR 40 N.
WELCOME IN MAURIWOOD!!!!",0
Vaccins sa ?? Ce qui p arrivé au port . La Marine Indienne dans la place . Pou tane dire la situation est sous contrôle .,0
"Eh si mo pou dire ou, ki Pinokio in planifié tousala pou aret Avengers so ban l'enquete. Et aussi si mo dire lepep ki sa virus la fausse sa, zot p zoué ar lepep, p passe bad flu comme covid, b beaucoup dimoun pa pou rode croire sa, zot éna confiance lor govt tyrant.",0
Sa pinochio la li a tous faire. Expect the unexpected with him.,0
Quantiter la lois ek lamande ena pou ti dimounes. Pou bannes grand palto qui pas passe dans quantaine perna la loi et amende????? Par contre les restes bisin paye gros somme pou etre dans quarantaine. trop trop d'injustice dans sa pays la.,0
"Dialogue ""Noune bien gere Covid"" n'est plus d'actualité aster 😂 Having said this, take care every one and be safe at Home.",0
Neguib Lootfun,0
"Tou cou independence li fer drama frere, 1 cou monT sa 🇲🇺 si pou vaccin pa expirE",0
"Veerraj Tauckoory vaccin , parlement pu pas bombard li r kestion , bateau pt o sable, case fakoo innocent encore endans, case , kisnen, ventilateur, case wakasio p prend li ene cerveau li ministre pli degoutant ki mo truver",0
"Naseem Abdoola mo pna mot pou decrire sa gouvernment la. 1.3 milion dimoun pa p cav gueT,si ti ena 25 million ki li ti pou fer,la pey en lor, travay pou lepep zero,zis pou li e so la cuizine",0
La vérité virus la ine rentre par 40n. Bku dimoune ki après 14 jours négatif capav vine positif . Ena après 11 jours vine positif. Happened in Australia .,0
Ashvin Gooriah Bonjour.... Mo pas comprend sa logique la. Ene virus..pas tenir plis ki 4hrs temps dans ène place.. Et li népli exister si test la négatif.! Li prend 7 jours pou disparet si fer so traitement.! Comment est-ce il possible ?? 🤔🙄Donc bann scientifique pé koz menti ou bien c'est moi ki pas pé comprend ditout??,0
Deenarain Lokee boss mo Madame sorti la France retourne Perth rester négatif . Après 11 jours avant so 40ten fini li tester positif. Ré garde li encore 10 jours . Pa écoute tou dimoune cozer . Pli comik mo Garson 1ans tester positif . Pou li pane ré fer test ine dire li capav sorti 40ten.,0
Deenarain Lokee Pena traitement sa boss. Li aller par li meme après so le temp. Tou dimoune so anticorp pa pareil. Coz sa li dépend sak individu.,0
"Deenarain Lokee this is how we do it here . Hope sa bouc la gagne imper l’esprit .
Coumsa ki to bizin explik to population .",0
"Ashvin Gooriah frere , ou pas au courant indiens vinne moris sans 40 aine ??? La fimer encore dans lizier ???",0
Christian Chamary banla ena certificate vaccine ek zot Pena COVID . Écoute tou couyon même cozer . Enfin ...,0
Ashvin Gooriah faire rier !! Ti faire test covid avec zotte ??? Meme vaciner to capave ena virus 🦠 !!! Alle voyage dans métro ????,0
Christian Chamary ok you are right,0
Ashvin Gooriah ene 1 er minus ki pran 4 jrs pou sorti dans so trou !!! Pire ki ramgoo en 99 !!! Pena confiance avec zotte !!! Ni labou ni lamarre !!!,0
Christian Chamary sa mo d’acord. Day li ti bizin vine devant le pep. Explik kine arriver ek met lockdown .,0
Ashvin Gooriah laisse dimoune grand bassin commence marcher ??? Malediction Pou lors li !!! Ti guette so la tete tanbave hier lors mbcile ??? Trop cest trop,0
Christian Chamary la coz grand bassin meme mo penser li pane rod met lockdown. Li pa rod gat fête la. Mais dernière line coner ki kaka p faner . Ek Pena choix .,0
Ashvin Gooriah pas rod gate fete ??? Mais li ene gateur fete en permanence depuis li au pouvoir !!! Appel sa met la vie le peuple en danger !!! Mo ti grand bassin hier pou travail .,0
Christian Chamary si li ti pou met confinement day one dimoune pa ti pou content,0
Après 4 jours dimoune pa p content . Dimoune jamais pou trouve kitchose bon,0
N kklki sa li pna fiel pou dire la verite,0
Faez Dauharry kklki ene faible mot pou li,0
"Jack Rose wi pa p cone ki pou batise li sa, n lockdown pa met instantane sa o moin 24hr avant passe nuvel, incompeten pou ress incompeten mem sa",0
R sa GVMT la ki laverite ou trouver.. kan li ouvert so laguel mem mem menti kumance tombe,0
in fer amene sa.... pou so vaccin pa gard dan friz,0
alle faire manifestation et attend 2024 hahaha,0
Feroz Suff,0
Ta bouse to f...Mauritian to croire li p prend précaution ? Moi osi mo contre Govt mais p koz k k p faire politique pu camp adverse. Pfffff. Prions...soyons Unis pendant des moments comme celle ci.,0
si li faire video et pa coz en direct ..pas trop compte lor so franchise...ene capon,0
Ale demande pravin li pu dir tw😂,0
E boss in arrive lr pu drmi 🤭aret fatigue la tet,0
Selven Valaydon péna pou dormir ene ggt la... Sa PLN Pravin la ki en tort.. OK... Aret prend so part.. Korek.! 😡😡😡,0
Deenarain Lokee ou fr moi riye ou boss mo boir 1 peg lor ou nom kmsa kpav ggn 1bon sommeil e leve tot,0
Oui p bien bizin cone couma sa ggt covid la in re aterir dan maurice la boss pane ler pou al dormi laaaaa,0
Badain ti dire li sa mette ene l’ordre dans so banne menti sinon li pou mari tasser divant mais line pa écouter et guette zordi kot nous pays eter banne mam,0
"What a pinok, a very good liar. The virus was from 1st week of Feb. Hahaha 😂 why not from 2 weeks ago.",0
"Li pou reponne par ""Dire moi kot mone foté? """,0
Line fane kaka encore enn foi pou rempli so poss,0
"Deenarain li pas pou dire bhai, ou bizin fini douter ki ça ti fini plan ça❗ Li prend nous pou so imbéciles. Ena beaucoup dimoune dans la population ki pas réaliser fini planifier ça.",0
Jim Fazarally exactly .coz sa mem li fine prend kobit et fine alle grand bassin bonheure.,0
"Jim Fazarally

Eh si mo pou dire ou, ki Pinokio in planifié tousala pou aret Avengers so ban l'enquete. Et aussi si mo dire lepep ki sa virus la fausse sa, zot p zoué ar lepep, p passe bad flu comme covid, b beaucoup dimoun pa pou rode croire sa, zot éna confiance lor govt tyrant.",0
Owizu Eluzio moi aussi depi 1er jour mo fine fini conner ki c 1 strategie ki gvmt pe servi pou pa alle la cour .,0
"Le plus gros mensonge, c kan li fin dire 1 cas en debut fevrier ,li p fini enleve suspicion lor delegation Indien ki ti a maurice fin fevrier",0
"La France même en rupture vaccin quel aide attendait vous a la France!,merci l'Inde pour ces vaccins,tout simplement leur venue à Maurice devriez un minimum de quarantaine comme tout les autres",0
eula ou dan someil ki sa bann dimoune ki ti vinn moris sans fer 40 ten,0
Cokin 2.0!,0
alors scene rentre dan box finne renvoyer??naam kisten pour encore trainer parski justice pe tarder ?,0
Ramsurn Lohmus sa banne ti p malade ki ti p presente certifika medicale ene sel coup Zot in fini bien.,0
Saumtally Ahmed dokter aussi pa pu gagne lavi la!,0
ZIS Couma sa vacsin la in vini moris toute suite in fini ggan dimoune in ggan coronavirus 🤔🤔💉💉🤔mo trouver sa un bizarre 🤔🤔,0
"Ludovic Dubois exactement, ou pas tout sel ki p trouve kitchose anormal, zis chatwa ki pas trouver.",0
Ène message bien clair à touts bann POLITICIENS ..Grand Bassin..Pas pou MARI ZOT MAMA sa.! Mo esperé ki zot finn comprend sa bann FLMM,0
Comment Grand Bassin ine vinne lieu sacré? C'est un volcan qui pena narien à faire avec Hindouisme.,0
"Vinay Ajoda Ene legend
Pareil couma Montagne Le monde
Ki zote pe essaye fer dimoune croire et
Prend pour des VERITEE",0
Rajen Pillay C'est ene invention 100% Mauricien et par politicien. Mo conne zistwar Pandit Gossaigne etc. Mais depuis l'epoque Français ti ena esclaves marrons qui ti reste dans sa region la et ti croire qui si pik tete et plongé zott pou retourne Madagascar.,0
"Vinay Ajoda Sous terrain direct Madagascar
Sa ki ti pkis important c'est de l'eau et ti bien difficile pour alle la chasse zote dans sa lieu la.
Pandit Gossaigne ,si mo memoire bon, ti sorti Bois Pignolet.
Mais bien apres fine commence ena infiltration politique . Et manipulation bann
Envoyer Special ki nous apel
SOCIO -RELIGIEUX",0
Rajen Pillay SSR qui servi sa pou faire belle la marche depuis 1972.,0
Rajen Pillay Bien avant Pandit Gossaigne ti ena même ene Consul American Nicolas Pike (lepok Americain ti la chasse la baleine dans l'ocean indien pou faire de l'huile la lampe) ki ti alle faire pelerinage Grand Bassin depuis Souillac!,0
Vinay Ajoda Nicola Pike Grand naturalist et Botanist . In marque nou l'histoire,0
Rajen Pillay Myth Busted!,0
"Vinay Ajoda Nicola Pike
Myth Busted ?",0
"Rajen Pillay Ça mythe qui ti ena ange dans rêve ene bougre ki ti dirige li vers Grand Bassin, etc li ene fausseté. L'existence du volcan ti deja connu bien avant 1867.",0
"Vinay Ajoda zot for lor tpurn zistoire
Laisse Volcan la trankil
Mank zis pou servi briani dan gran bassin",0
"Vinay Ajoda Agreed.
Bon depuis la nuit du temps fine toujours ena sa type personnage ki pretend fine fer reve , ene la voix fine koz dans zote zoreilles, fine gagne vibration, zeclair etc.
Et finalement la mass commence croire et prier.Dans la vie l'etre humain fine toujours attire par sa ki Mystic et inexplicable.",0
Bien dir sa zom li pou la grand fami 👪 MAURICIEN 🇲🇺 pa pou kit plock so mama ou mari so mama,0
Bien cozer sa grand bassin pou tout morisien sa,0
"D'origine
Grand Bassin ti ene lieu de Refuge pour bann ESCLAVES EN MARRONAGE .",0
"Chatradhary Awotarsing Akoz ban plok
Ki pe rode rode zote propre l'interet li pas possible pour zote re vini.
Malheur PTR pas Navin mais so bamn Sousser Manioks la",0
"BHAI LOCKY C BANNE SOIS DISANT GRAND RELIGIEUX SA
GRAND BASSIN POUR ZOTT",0
"Harry Muneeram en tous cas Zot pas represente la communauté hindous, Zot represente Zot mem: dakous la kwizinn. N banes nimporte ti l'esprit. Nouvo ministre grand Bassin sa, bisin so permission avant ou aller😂",0
"Pe apprane avec Modi couma fair discrimination, casteism. Même zafaire p passer dans L’Inde. Beware bane camarad. C’est ene début ça.",0
Sultanah Khan apres ou pou trouver moitie maurice li pour vine pour linde bangla pour rempli dan maurice,0
"Neema Boodhoo pas que la moitié, pays la met zot pou prend.",0
"Bien dir sa chacha, c intolerable. Full support a Nando Bodha",0
"Pretz Singh linn viniCom enn Citoyen simple pu particip Dan enn la priere, Hats Off Nando",0
Deepak Beeharry exactement.et daileur tou dimune ena droit. Grand bassin pas pu personne. Sa bane ki ale fer discour la sa ki ti bzn dir aller.,0
dapre lord ZOT P GEYN GRATE,0
"Grande bassin c pou tou hindu, politicians pa rend Dan religion. Freedom freedom.",0
Anaz Rosun correction please grand Bassin is for all Mauritians no matter what religion you are!!!,0
"Sewraj Boodhooa yes, but a chaque fois ki mo al moris, mo al promner la bas, don Manger ban zaco.",0
"Anaz Rosun Non pas seulment pour Hindu
N'importe ki Mauricien et etranger alle G.Bassin . Lieu la li reste ouverte .
Sans control access

.",0
"Rajen Pillay oui c pou tou, me can Ena la priyer, fodre pa nou bisin drange kiken, tou mauriciens nou cuma n la famille.",0
"Anaz Rosun Pas boucou pense couma ou
Taler la mo ti fer referance aine lote frere par raport avec sa ki li fine ecrire.
Ti pou bon si dimoune pense couma dimoune meme
Mais quand met Visier politique et Religion
Sa change nous completment . Merci",0
"Just sa lanner mo ti pense pou al grandbassin ,mo fini peur pou aler tention gagn pousser mo n chretien et mo n morisien.",0
"Jean Nath everyone is allowed to go thr brother. It's a pious place. Same as when I enter a church, no one stops me. If u go to grand bassin no one would stop you. We r mauritians",0
"Jean Nath mwa ossi mo peur pou alé
La honte saki p passe",0
En public li pu dire li pas ti konE p arrive sa.. Li pu tire so Canet dns joue li.,0
"Su Hayl samem p fer dan lacour avec Avenger
Zot paye avocats ki roder boute ek lezot chatwa pou craz lezot",0
eski bizin fer reservation pou konner si kpav rentre dans gbassin aster😡😡😡,0
Dave Bungaroo premier fois p tander ki p ggn pousser dans gbassin. Fer honteux sa,0
Dave Bungaroo mais tous pou paye ici mm sa,0
Amg Ravish bizin tire permis mo bien croire et bizin provee si ou ene de bne MSM lerla pou gne rentree,0
Maanvi Couturiere bien dire bizin montre carte adherant msm,0
Amg Ravish SunTrust sa,0
COUMECA MEME BIZIN DIRE CA ...,0
Zott pe servi site grand bassin pou faire la politik,0
"SA MÊME LANGAGE ZOT POU COMPREND , RESTE ZIS POU METTRE ZOT STATUE LA BAS",0
"Bien dir sa, bravo",0
Bane communoter Hindu zot bizin réagir,0
"Honteux, comment bane dimounes ki dan la priere kpav agir coumsa et senser bel careme p garder 🤮...",0
Bhai Ken sa meme band de chatwa la sa bro,0
Havinash Nitin Kowlessur biensure zot parmi,0
Bhai Ken apres kaka gagne ...... M.......,0
Bhai Ken tu ceki march avec politicien chatwa mem sa,0
Sa boss dan so laguel la ki p fer Moris endeter.,0
"Moi mo dire tout bane lieu de priere apartient a tout peuple mauricien... Par example moi mo ene chretien, si ene hindoux ou ene Muslim vine leglise, mo pas ggne droit pouce li... Dieu et dieu et nous tout nous so enfant et li contant nou tout pareil...
Sa bane ki p pousse zot camarade la, la honte pou zot et pas blier ene lieu de priere cest ene lieu de paix sans haine, et pas ene place pou fer politic...
Bondier p guet zot🙏",0
Yveslene Victor bien dit dans nous religions pena sa zote tout c'est la bienvenue quand les 12 mars fête l'indépendance ler la pou dire en seul les peuples en seul nation,0
Mo 1000 % dak,0
La kifr pas arete sa 4 bougue kine menace nando la,0
Anju Asha la polis temoin,0
Anju Asha Welcome to Pinokio Land.,0
Pu bizin fer lenkette. Ene mari longue lenkette meme....,0
Human beings of any religious faith or even atheists are allowed at Grand Bassin or any other temple all around the world.,0
Respect la priere,0
Bizin respecté 1 lieu de prière,0
"Ban FLZMM nepli comprend zot prend pays la pou Mari zot mama ek gallant zot fam.
Samem zot crise p.... n monter 😡😡😡😡",0
Si pa comprend pa pou comprend Jamais 😂😂😂,0
Non frere pa fer erere politisien pa pou pa vine pou ou bizin fer sa la priyerr pou fer la haut la plezire,0
Tres bien dit,0
Ala Hindu p manz hindu. Zoli sa pays la non? Voila ceki arrive kan 1 kkliki kuma pinokio a la tete du pays? Kan zot pu bour li deor?? GueT zot meme aster.,0
"Sa prouvé ki zotte plis bas ki zanimo...et ki zotte pa p al labas pou la prière..ni zotte ena respect pou sa place ki sacré pou les hindus.
En plus..ena 1 parmi zotte..seki met chemise blanc la...to pas honté to enceinte et to fer bane zafer pareille...a b to piti ki kalité chatwa li pou sorti sa???",0
"grand bourzois la ale coze caca dans socio culturel,, mais so bane chatwas croire qui zot gagne droit faire pareil!!! Ala la la cot pé alé zordi zour!!!! Deguelasse!!!!!",0
"Mo croire kmsa saem ki pou bzn koz ek zte..
Demain soz pou dire, li pas koner kine arriver",0
Dan parlement ORDER toi out astere dan grand bassin aussi.....jusqua quand sa?,0
Ravin Bokhoree Welcome to Pinokio Land.,0
"Bro granta





Ģrand basin fini partaze zot dir tou vaish al fer la prier kot s m f banne bourik ki hindou zot koze grand bassin pou hind dou sa jai hindoumaha sabha",0
S ki V.O.H pas pou koz lor sa problem très grave ceki in arrivé ar Bodha la ou soi zot pu continué souss ko- pinokio em. V.O.H n group ki fer tou ban dimoun gagne la honte kument li faire la.,0
Kapav sa 4 imbeciles la in gagne Grand Bassin en heritage par mari zot mama,0
Every place of worship should get rid of political interference,0
Bizin kas liki sa 4 pilon la apre sa pilon pravin la,0
Amrish Gundawy samem bizin fer bien cozer sa bro,0
Amrish Gundawy et si sa ti arrive pinokio ek so femme pi*** la dans grand bassin lerla ki banne chatwa ti pou dire lors sa,0
Bizin montré ki sa 4 figir la sa?bizin bour pinokio dehor depuis grand bassin si li coz dans micro,0
"Bizin dire tou lieu de culte pas pou mari zotte mama ça. A bon entendeurs surtout politicHiens et chatwas, salut",0
शिवा ओम प्रशांत,0
Bien avoyer sa mamou.,0
"Si mo ti Premyé Minis..mo ti pu met ancien Chef Juge Me Eddy Balancy comme Président de la République, car mo konn so capacité.",0
Met il chef ICAC. Ti besoin ene ancien chef juge toujours chef ICAC.,0
Jean Daniel ICAC..bizin met ene enqueteur chevronné..pou fer sa travail la..,0
"Ou besoin ene dimoune integre a la tete institutions la. Ou pas capave chaque partie vini met so dimoune a la tete ICAC, ca pas pou servie narniers.",0
Si nou poa denons cominalism et casteism li pou poisonn nou societe.,0
Dan Sa ti zil la tout gouvernement kin vini jis YES MAN ki zot bisin,0
"Nou système électoral ki bizin chanzé, li bizin vine ene système à suffrage universel : le peuple élu son président et le président nomme le premier ministre ki pou monte ene gouvernement issue de la société civile et si pas bon premier ministre dehors remet ene lot kouma dan ene vrai République paski nou ene république avec ene constitution monarchique pas bon ditou li ene système archaïque sa li bon zis pou l'angleterre sa.",0
Loïc Pointe Ou ena raison Frere...akoz sameme mo pe support Rajiv Lallsa so programme...car li pe vinni pou change systeme la avec ene nouvo vision..,0
"Deenarain Lokee paski sa système la même ki pe protez bane voler, avk sa système la mm ki zot pe kokin élection !!",0
sis pou gain l'argent pou narien p azize baize cass,0
malheureusement li ene creole .,0
Corine Janson Mon amie...tous ki koz creole....li ene creole...moi osi mo ene creole...mo kapav suivre culture Hindou....mais mo reste Moris et mo ene creole...couma tous Mauriciens..! C'est ene pure veriter sa...ceki pas comprend..pas prend compte..,0
"Deenarain Lokee mo apprécié ou réponse mais où cone bien ki mo p dire.quand ou ene creole(ene nation cmt aruna devi habitué dire) de foi catholique ,ou la porte reste fermer.",0
Bane Juge servi nous pays bien.,0
chance to pas premier minis.tone blier li ti suivre bus,0
Shekhar Gopal Suivre ou Poursuivre..??,0
Deenarain Lokee https://ionnews.mu/le-chef-juge-tente-de-stopper-bus-accuse-le-chauffeur-de-tentative-de-meurtre-26042019/,0
Shekhar Gopal Ayo..Brother..get ki sannla pe met sa news la..ION News...lol,0
Li trop juste ey kare/kare. Li pas laisse peesonne krase so zorteil,0
Mo pas croire li pu accepter un role pot fleur...,0
Christian Harel akoz sameme bizin li...car li pas pou ene yes man...li pou suivre tous legalement..!,0
Christian Harel Tout a fair daccord,0
Deenarain Lokee Li pas encore me Sa 1er Minis ki pou nomme ENE president a graine.,0
Prochaine élection to donne to proposition! Asterla mange pistache et guet le temps passer!!,0
MO PANSE TI POU ENN FORMIDABLE PREZIDAN RAMPLI DE JUSTICE E BONTE,0
Bien dire sa Deenarain Lokee,0
Trop communale dans pays pou nomme banne personne compétent.Pays pou avancer uniquement quand pas pou mettre famille et copains et la communauté...est ce qui ou d’accord avec sa décoration récemment?,0
All former Chief Justices and former Judges have refused to be associated with such regime,0
Kifer pas prof armoogum parsuramen.. Line faire so preuve et li meriter,0
Avn Hayden Mo ti pou avoy Mr Parsooramen a ONU...car li ena experience labas..!,0
Mais sa lidee pu Faire Eddy balancy la vinn president li bon mais chagrinant ki ban homme politique zamais pu Ena le courage pu Faire li.. Mais zot pu nomme zis zot ban dimoune ki pu Faire marionette labas Kuma cki nu Ena actuellement li ene bon a rien ki zis gratter senti Dan chateau reduit et p jouir tout le luxe presidentiel payer par ti lepep contribuables,0
Mais sa pa pou Dan so l'intérêt alors li pa pou fer li.,0
Attorney General !,0
Moi mo dire zero nous bizin n premier minist ki pas n comik ar n marrionet avec comiser police independent. e revoir tous bane la Lois .pour ki tou dimoun ena zot drois zistoir ti copin copin n seul famil ki mange part 2 voila. E grand zafer la religion pa fer parti avec politics tres important,0
Ki to dire Gerald Balancy sa ene zoli cozer!,0
"Li o
Pou bizin met navin president akoz li ti fer sa r so papa pou saj bez plus kas lepep ..a son tour d fer navin president pou bez plus kash ..c grace ptr ki li p gagne gros lapaye zordi",0
"Très vrai mais qui au MSM aurait les couilles pour le faire, car cest quelqu'un connaît ses prérogatives et s'en servira",0
"Pinok pa rekonett la multikiltiralite Moris.-li pa truv le unwritten word multicultural dan nou Constitution:Mauritius is a sovereign ,(multicultural),democratic state..Ou poense enna kalkill casteimse la dan?Mem dan so dekoration l'independence li pa respecte sa multikiltiralite la.",0
1 choice 👍,0
zot problem zot pa content ti zeness,0
Toukou moulkooo,0
Well said,0
ki creol ou indien ou musulman ou chinois ou blanc tout sa c mauricien qui vivre lor n ile ici kan in bien ramasse cass juge dimoune ena pakone si innocent in ferme ou pas vrai vine menti ou mensonge vine vrai b redonne zot poste pour gagne l'argent encore azordi li pou dans to cote tank li perna pouvoir dans so lamain demain kan li la bas li blier tw apart to n famille ou n copain r li pense bien ban frere et soeur,0
"Ta, moi MO ti pou laisse cassam uteem ziska, li Mort 👌 tire LA loi one of the best 👌",0
Raoul Krishi wep,0
Deenarain Lokee ✌️,0
Ki grand pake li pou casse..avek le temp li ti pou vine chatwa,0
"Sakili zoli cause, pas met tou qualite bouffon pou Faire clown",0
"En tout cas, 🤣le Premier Minis inn bizin al kachiete aster.! Covid safe..my foot..! 😁Aret tap l'estomac..do movais Bouffon.😡😠",0
Pe rempli poches alors qui cocovid sa c pinok,0
li represent lepep lin dire li bizin dibrille so di fil c tout,0
"Actually the Mauritius gov did a very good job with COVID when compared to USA , U.K. , France etc
There’s no need to hop on any donkeys and do monkey dances now that there’s a second wave .",0
Padmah Shree so true,0
"Nous pas capave compare nous avec les zot pays la bas 80 millions ,8 frontiers, ici 1,3 millions ,nous pena frontiere meme ,si nous ti controle l'aeroport e port la fois passer nous pas ti pou rentre dans confinement",0
"Muhammad Ismet
Reunion and other islands ?",0
"Padmah Shree Reunion plus pire parcequi zot dire ou zot francaise li vraie Ben sa fine amene ene desorde ,sa aussi fine vine lors l'aeroport",0
"Muhammad Ismet
That’s not my point
You said Mauritius has no “frontiers “
Stay on topic please .
My comment was that the Gov did a good job compared to others .
Follow the logic",0
"Padmah Shree Groso modo oui,mais ti capave faire sa 1 semaine avant ,e entout k mo pas p la geure avec ou ,au contraire",0
Padmah Shree humm enkor sousou..,0
Mauritius is like a small town in these countries.,0
Qui tracas li gagner pou le peuple. So poche bien rempli pou li et pou so banne descendants de generation en generation..li ek so descendants zot lavenir tres bien rassurer.,0
Unprofessional irresponsible,0
An tout ka boucou palab et pm P bien pran plaisir en memm temps poss P bien rempli...pourtant ti bien dir pas vote sa encore....non votants ti dir ki li P fer bon travail...enna encore 3 ans palab pou fer bon courage....à la fin li pou vin couyonné encore ek so 2 kass pension...capav zott re re ...B bonne chance à enn parti le pep....,0
Pire ki bouffon sa !!! Bientot pou trouve la tete cocome bronzer lor tv la !!!!,0
Ki Pu reds 1 kklk mem,0
Lock down a partir de MINUIT ce soir,0
Shah Khan cot in dir sa bro.? Mone wait conference LA pane gaiye send link,0
Raoul Krishi tir to linette to pou truvé lerla,0
Jean Alex Agathe to p trv too toi,0
Jean Alex Agathe lol to p dir pou tomem LA 🤣🤣🤣🤣,0
Raoul Krishi ti met lizour sa pa asoir..ine ariv 21:25 la..,0
🤣🤣🤣,0
"Raoul Krishi PM p encore makiyer la. Bnela finn blok li dan make up room MBC..... ti 8.45. Apres finn dire 9.15.... aster p tender p met teinture, verni zongle, haar tous sa avant li paret devant camera 😂🤣",0
Jean Alex Agathe 🤣🤣🤣 Wai p atan mem LA to p trv too tone fini gaine news LA,0
Shah Khan Wai 17 hr in vine 20. 45 in vine 9.15 LA in arrive 9.30 lol,0
Raoul Krishi mo sourde moi p lir lor la bouss..,0
Jean Alex Agathe lol Wai paret 🤣🤣 n chanz to pas lore lot lot zafer 🤣🤣🍆,0
Raoul Krishi non toi to lor lot zafer moi mo lor zafer morisiene..,0
"Zot finn ressi guet ZOT PM KOZER???? KOzer aster?? Mo tiyo ti percee?? Kozer VOUS ZOT😂🤣😂🤣😂🤣
TOUS BOUCHON ASTER",0
Jean Alex Agathe Mari pln sa ggt LA,0
Raoul Krishi tone truvé aster morisien koz dan sir li...,0
"Jean Alex Agathe ki sure LA, minuit non demain 6 hr tire to lunette to ecoute bien 🤣🤣",0
"Raoul Krishi ta komik ki to apel a partir de minuit toi .
Zordi???to p rode role??",0
Jean Alex Agathe kisenla in dir toi apartir minuit? To sou fou ou p rode role.?,0
Raoul Krishi 🤣🤣🤣,0
Jean Alex Agathe are bour bnheur et fumer lor LA to pou dans beze part,0
Raoul Krishi 🤣🤣ni bour boner ni fumer lol chek bien et mo dan mo bien pas dan beze mo alez part..bnuit..,0
Jean Alex Agathe oui MO p trv. Lol,0
Raoul Krishi setter truv net..,0
Raoul Krishi,0
Jean Alex Agathe,0
KARMA la pou VIRE CONTRE LI KARMA COVID. TI CNTENT REMPLI POCHE COPAIN COPINE ET NEK FER LEPEP COIRE DAN COVID. B NOUS TOUS ENSAM VA SUBIR KARMA COVID. WAKASHIO. SUICIDE. TOUS SA POU VIRE LOR NOUS OSI LA. A LA REZILTA KAN METT SECRET PRINCE DEHORE,0
Elaheebocus Reshad,0
La qui pe déroule tou pe cose covid mais case qui ena mauricien pou fini met dans vieux cont 🤔🤔🤔,0
